date	ADA	ATOM	AURORA	AVAX	BNB	BTC	DOGE	ETH	INDY	LINK	LTC	LUNA	NEAR	OSMO	QI	ROAR	SNEK	SOL	stable
2025-05-10	$0.00	$0.00	$0.00	$713.22	$590.22	$234.82	$122.32	$1,392.38	$0.00	$0.00	$74.68	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$735.96
2025-05-09	$0.00	$0.00	$0.00	$713.22	$590.22	$234.82	$122.32	$1,392.38	$0.00	$0.00	$74.68	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$606.10
2025-05-08	$0.00	$0.00	$0.00	$713.22	$497.82	$234.82	$122.32	$1,392.38	$0.00	$0.00	$74.68	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$256.65
2025-05-05	$0.00	$0.00	$0.00	$713.22	$283.86	$234.82	$122.32	$1,392.38	$0.00	$0.00	$74.68	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-05-04	$0.00	$0.00	$0.00	$598.55	$83.65	$234.82	$39.95	$1,392.38	$0.00	$0.00	$74.68	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-05-03	$0.00	$0.00	$0.00	$598.55	$83.65	$234.82	$39.95	$1,357.91	$0.00	$0.00	$74.68	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-04-28	$0.00	$0.00	$0.00	$598.55	$83.65	$234.82	$39.95	$1,293.01	$0.00	$0.00	$74.68	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-04-23	$0.00	$0.00	$0.00	$598.55	$83.65	$234.82	$39.95	$1,131.65	$0.00	$0.00	$74.68	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-04-21	$0.00	$0.00	$0.00	$598.55	$83.65	$234.82	$39.95	$1,052.45	$0.00	$0.00	$74.68	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-04-17	$0.00	$0.00	$0.00	$598.55	$0.00	$234.82	$0.00	$662.46	$0.00	$0.00	$37.75	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-03-25	$0.00	$0.00	$0.00	$598.55	$0.00	$234.82	$0.00	$355.39	$0.00	$0.00	$37.75	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-03-22	$0.00	$0.00	$0.00	$449.24	$0.00	$234.82	$0.00	$355.39	$0.00	$0.00	$37.75	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-03-18	$0.00	$0.00	$0.00	$449.24	$0.00	$163.90	$0.00	$355.39	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$125.17
2025-03-17	$0.00	$0.00	$0.00	$449.24	$0.00	$95.74	$0.00	$355.39	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$0.00
2025-03-15	$0.00	$0.00	$0.00	$449.24	$0.00	$0.00	$0.00	$303.07	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$2.58	$0.00	$0.00	$0.00	$0.00
2025-03-13	$0.00	$0.00	$0.00	$361.40	$0.00	$0.00	$0.00	$243.35	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
2025-03-10	$0.00	$0.00	$0.00	$361.40	$0.00	$0.00	$0.00	$194.83	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
2025-03-03	$0.00	$0.00	$0.00	$182.65	$0.00	$0.00	$0.00	$194.83	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
2025-02-28	$0.00	$0.00	$0.00	$182.65	$0.00	$0.00	$0.00	$139.09	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
